GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
htmlformentry Module api 2.2,org.openmrs.module.htmlformentry.handler,ConditionTagHandlerSupport2_2,28,0,2,0,7,0,3,0,2,0
htmlformentry Module api 2.2,org.openmrs.module.htmlformentry,ConditionElement,795,0,46,0,148,0,36,0,13,0
